nom;annee
Claire Borotra;1973-09-25
Tom Bosley;1927-10-01
Hugo Boss;1885-07-08
Maxime Bossis;1955-06-26
Patrick Bosso;1962-10-12
Jacques-Bénigne Bossuet;1627-09-27
Kate Bosworth;1983-01-02
Fernando Botero;1932-04-19
Timothy Bottoms;1951-08-31
Sami Bouajila;1966-05-12
Max Boublil;1979-05-17
Wendy Bouchard;1980-06-22
Eugenie Bouchard;1994-02-25
Hélène Boucher;1908-05-23
Elodie Bouchez;1973-04-05
Patrick Bouchitey;1946-08-11
Tarek Boudali;1979-11-05
Jacques Boudet;1939-12-29
Jeannette Bougrab;1973-08-26
Allain Bougrain-Dubourg;1948-08-17
Jean-Claude Bouillon;1941-12-27
Jean Bouise;1929-06-03
Évelyne Bouix;1953-04-22
Michel Boujenah;1952-11-03
Isabelle Boulay;1972-07-06
Steevy Boulay;1980-02-19
Pierre Boulez;1925-03-26
Arielle Boulin-Prat;1953-10-23
Carole Bouquet;1957-08-18
Michel Bouquet;1925-11-06
Frédéric Bouraly;1960-05-03
Djamel Bouras;1971-08-11
Jean-Jacques Bourdin;1949-06-15
Sacha Bourdo;1962-01-08
Didier Bourdon;1959-01-23
Hervé Bourges;1933-05-02
Elizabeth Bourgine;1957-03-20
Louise Bourgoin;1981-11-28
Habib Bourguiba;1903-08-03
Patrick Bourrat;1952-09-20
Jean-Claude Bourret;1941-07-17
Christophe Bourseiller;1957-09-27
Bourvil;1917-07-27
Shirley Bousquet;1976-03-05
Frédérick Bousquet;1981-04-08
Abdelaziz Bouteflika;1937-03-02
Romain Bouteille;1937-03-24
Christine Boutin;1944-02-06
Boutros Boutros-Ghali;1922-11-14
Philippe Bouvard;1929-12-06
Francis Bouygues;1922-12-05
Martin Bouygues;1952-05-03
Alain Bouzigues;1968-05-14
Benjamin Bove;1981-10-17
José Bové;1953-06-11
Andrea Bowen;1990-03-04
Julie Bowen;1970-03-03
Elizabeth Bowes-Lyon;1900-08-04
David Bowie;1947-01-08
Bruce Boxleitner;1950-05-12
Boy George;1961-06-14
John Boyd Dunlop;1840-02-05
